,index,CID,MolecularFormula,MolecularWeight,CanonicalSMILES,Complexity
185,624,53430915,C21H27N2P,338.4,CC(C)(C)P(C1=CC=NN1C2=CC=CC3=CC=CC=C32)C(C)(C)C,409
186,634,71311101,C24H26NP,359.4,CC(C)P(C1=CC=CC=C1N2C3=CC=CC=C3C4=CC=CC=C42)C(C)C,431
187,640,71317484,C19H16NOP,305.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C=NO,329
188,642,71463645,C20H20NP,305.4,CC(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)N,302
189,656,87081259,C26H21N2P,392.4,CN1C2=CC=CC=C2N=C1C3=CC=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5,495
190,665,98043674,C19H16NOP,305.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C=NO,329
191,672,133554531,C13H22NP,223.29,CC(C)(C)P(C1=CC=CC=N1)C(C)(C)C,186
192,676,11505541,C24H21N2P,368.4,C1CCC2=C(P(C(=C2C1)C3=CC=CC=N3)C4=CC=CC=C4)C5=CC=CC=N5,443
193,681,141566,C10H17P,168.22,CCCCP1C=C(C(=C1)C)C,101
194,682,142235,C10H17P,168.22,CC1=CP(C=C1C)C(C)(C)C,124
195,687,85990699,C20H13F6P,398.3,C1=CC=C(C=C1)P(C2=CC=CC(=C2)C(F)(F)F)C3=CC=CC(=C3)C(F)(F)F,434
196,689,102015616,C8H7F4P,210.11,CP(C)C1=C(C(=CC(=C1F)F)F)F,162
197,692,86565,C24H51P,370.6,CCCCC(CC)CP(CC(CC)CCCC)CC(CC)CCCC,220
198,693,87563,C18H31P,278.4,CCCCCCP(CCCCCC)C1=CC=CC=C1,172
199,694,87564,C18H23P,270.3,CCCCCCP(C1=CC=CC=C1)C2=CC=CC=C2,196
200,695,88645,C9H13P,152.17,CC1=CC=C(C=C1)P(C)C,90
201,696,136265,C3H6F3P,130.05,CP(C)C(F)(F)F,55
202,697,136939,C10H16NP,181.21,CN(C)C1=CC=C(C=C1)P(C)C,126
203,698,137102,C3H3F6P,184.02,CP(C(F)(F)F)C(F)(F)F,97
204,700,142457,C19H29OP,304.4,COC1=CC=C(C=C1)P(C2CCCCC2)C3CCCCC3,268
205,707,303893,C19H14F3P,330.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C(F)(F)F,338
206,709,449924,C12H27O3P,250.31,COCCCP(CCCOC)CCCOC,110
207,710,3015005,C12H33PSi3,292.62,C[Si](C)(C)CP(C[Si](C)(C)C)C[Si](C)(C)C,170
208,713,9807779,C24H24NOP,373.4,CC(C)C1COC(=N1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,475
209,716,10923529,C14H12F3P,268.21,C1=CC=C(C=C1)P(CC(F)(F)F)C2=CC=CC=C2,222
210,722,11394456,C16H13F6OP,366.24,C1=CC=C(C=C1)P(CC(C(F)(F)F)(C(F)(F)F)O)C2=CC=CC=C2,364
211,725,12092305,C4H5F6P,198.05,CCP(C(F)(F)F)C(F)(F)F,110
212,726,12176327,C12H21F6OP,326.26,CC(C)(C)P(CC(C(F)(F)F)(C(F)(F)F)O)C(C)(C)C,306
213,727,12596362,C18H15O2P,294.3,C1=CC=C(C=C1)P(C2=CC=CC=C2O)C3=CC=CC=C3O,294
214,728,13741332,C19H14F3P,330.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)C(F)(F)F,330
215,730,15809510,C6F15P,388.01,C(C(F)(F)P(C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F)(F)(F)F,334
216,732,15876355,C18H9F6P,370.2,C1=CC(=C(C(=C1)F)P(C2=C(C=CC=C2F)F)C3=C(C=CC=C3F)F)F,346
217,736,19927102,C21H18F3P,358.3,C1=CC(=CC=C1CF)P(C2=CC=C(C=C2)CF)C3=CC=C(C=C3)CF,310
218,738,21666514,C24H47P,366.6,CCCCCCCCCCCCP(C1CCCCC1)C2CCCCC2,271
219,740,23413213,C20H13F6P,398.3,C1=CC=C(C=C1)P(C2=CC=CC=C2C(F)(F)F)C3=CC=CC=C3C(F)(F)F,434
220,744,44541796,C15H10F7P,354.2,C1=CC=C(C=C1)P(C2=CC=CC=C2)C(C(F)(F)F)(C(F)(F)F)F,346
221,748,45277939,C8H10FP,156.14,CP(C)C1=CC=CC=C1F,103
222,750,57021878,C20H13F6P,398.3,C1=CC=C(C=C1)P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F,418
223,751,57827808,C19H15F2P,312.3,C1=CC=C(C=C1)P(CC2=C(C=C(C=C2)F)F)C3=CC=CC=C3,305
224,753,59804940,C21H17N2P,328.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=NN4,358
225,754,67359268,C17H33P,268.4,C1CCCCC(CCC1)P2CCCCCCCC2,182
226,769,101854817,C15H14F3O2P,314.24,COC1=CC=C(C=C1)P(C2=CC=C(C=C2)OC)C(F)(F)F,285
227,773,121241175,C23H20NOP,357.4,COC1=CC=CC=C1N2C=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,400
228,776,132279236,C25H19FNP,383.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C=NC4=CC=CC=C4F,465
229,777,134385898,C19H16FP,294.3,C1=CC=C(C=C1)P(CC2=CC=C(C=C2)F)C3=CC=CC=C3,268
230,779,135033290,C19H26F3P,342.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=C(C=C3)C(F)(F)F,330
231,780,135033292,C19H26F3P,342.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C(F)(F)F,338
232,783,271441,C26H19P,362.4,C1=CC=C(C=C1)P(C2=CC=CC3=CC=CC=C32)C4=CC=CC5=CC=CC=C54,433
233,784,273266,C16H20NP,257.31,CN(C)CCP(C1=CC=CC=C1)C2=CC=CC=C2,199
234,786,303889,C18H14ClP,296.7,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3Cl,263
235,787,316380,C11H15P,178.21,CC1CCP(C1)C2=CC=CC=C2,138
236,791,2828340,C15H17OP,244.27,CC(CP(C1=CC=CC=C1)C2=CC=CC=C2)O,189
237,799,290141,C13H15P,202.23,CC1=CP(C=C1C)CC2=CC=CC=C2,162
238,802,54435320,C3H6Cl3P,179.41,C(P(CCl)CCl)Cl,31
239,803,240511,C16H17O2P,272.28,COC(=O)CCP(C1=CC=CC=C1)C2=CC=CC=C2,250
240,804,253989,C14H14ClP,248.69,C1=CC=C(C=C1)P(CCCl)C2=CC=CC=C2,165
241,805,262046,C22H17P,312.3,C1=CC=C(C=C1)C2=CC=C(P2C3=CC=CC=C3)C4=CC=CC=C4,321
242,806,283633,C3H9O2P,108.08,CP(CO)CO,28
243,807,316379,C12H19P,194.25,CC(C)P(C1=CC=CC=C1)C(C)C,126
244,809,498820,C15H33P,244.4,CC(C)(C)CP(CC(C)(C)C)CC(C)(C)C,159
245,814,545348,C11H25P,188.29,CC(C)P(C(C)(C)C)C(C)(C)C,120
246,816,546133,C8H19P,146.21,CC(C)P(C)C(C)(C)C,79
247,817,560331,C8H17P,144.19,CC(C)(C)P1CCCC1,85
248,818,560783,C7H17P,132.18,CC(C)P(C)C(C)C,49
249,819,561154,C12H19P,194.25,CC(C)(C)P(C)CC1=CC=CC=C1,140
250,820,567830,C5H9P,100.1,CP1CC=CC1,58
251,822,579736,C9H13P,152.17,CCP(C)C1=CC=CC=C1,84
252,823,579954,C11H17P,180.23,CC(C)(C)P(C)C1=CC=CC=C1,128
253,824,580201,C10H15P,166.2,CC(C)P(C)C1=CC=CC=C1,103
254,825,582625,C13H25P,212.31,CP(C1CCCCC1)C2CCCCC2,137
255,829,605946,C17H26NP,275.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=N3,238
256,830,608029,C15H16ClP,262.71,C1=CC=C(C=C1)P(CCCCl)C2=CC=CC=C2,177
257,833,617448,C16H17P,240.28,C=CCCP(C1=CC=CC=C1)C2=CC=CC=C2,194
258,834,618661,C15H17PS,260.3,CSCCP(C1=CC=CC=C1)C2=CC=CC=C2,177
259,838,625548,C20H17P,288.3,C=CC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,294
260,839,627825,C19H15O2P,306.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC(=C3)C(=O)O,340
261,840,628659,C21H16NP,313.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC4=C3N=CC=C4,341
262,841,632385,C26H19P,362.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC4=CC5=CC=CC=C5C=C43,443
263,846,635827,C12H13P,188.2,CC1=CP(C=C1C)C2=CC=CC=C2,151
264,848,637962,C6H13P,116.14,CP1CCCCC1,46
265,849,643593,C6H15P,118.16,CCCCP(C)C,33
266,850,2733417,C27H33P,388.5,CC1=CC(=C(C(=C1)C)P(C2=C(C=C(C=C2C)C)C)C3=C(C=C(C=C3C)C)C)C,393
267,852,2734569,C22H29P,324.4,CC1CCC(C(C1)P(C2=CC=CC=C2)C3=CC=CC=C3)C(C)C,320
268,853,2736327,C24H19OP,354.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4O,394
269,855,2773819,C14H13O2P,244.22,C1=CC=C(C=C1)P(CC(=O)O)C2=CC=CC=C2,225
270,856,2775957,C19H17OP,292.3,COC1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,268
271,857,2784070,C6H15O3P,166.16,CC(O)P(C(C)O)C(C)O,80
272,858,2784523,C11H15P,178.21,C1CCP(CC1)C2=CC=CC=C2,121
273,859,3258826,C20H26BO2P,340.2,B1(OC(P(C(O1)C(C)C)C2=CC=CC=C2)C(C)C)C3=CC=CC=C3,360
274,861,3758544,C20H19OP,306.3,COCC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,289
275,867,4405408,C20H19O2P,322.3,COC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3OC,319
276,869,4460416,C11H13OP,192.19,C1CP(CCC1=O)C2=CC=CC=C2,175
277,870,4623363,C22H29P,324.4,CC1CCC(C(C1)P(C2=CC=CC=C2)C3=CC=CC=C3)C(C)C,320
278,872,4643316,C14H15OP,230.24,COC1=CC=CC=C1P(C)C2=CC=CC=C2,201
279,875,5323725,C8H17P,144.19,CP(C)C1CCCCC1,72
280,877,6312190,C27H21P,376.4,C1=CC=C(C=C1)P(C2C3=CC=CC=C3C=CC4=CC=CC=C24)C5=CC=CC=C5,468
281,879,6432597,C7H17P,132.18,CCCP(C)CCC,37
282,880,9841764,C23H22NOP,359.4,C1C(N=C(O1)C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,429
283,882,9927860,C21H26NOP,339.4,CC(C)(C)C1=NC(CO1)CCP(C2=CC=CC=C2)C3=CC=CC=C3,398
284,883,9943870,C20H19P,290.3,CC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3C,285
285,884,10178350,C28H21P,388.4,C1C2=C(C3=CC=CC=C3C=C2)C4=C(CP1C5=CC=CC=C5)C=CC6=CC=CC=C64,511
286,886,10563135,C16H13OP,252.25,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CO3,226
287,889,10755942,C18H27OP,290.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3O,263
288,890,10856275,C12H15P,190.22,CC1=C(CP(C1)C2=CC=CC=C2)C,197
289,892,10897910,C21H21O2P,336.4,COC(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)OC,328
290,895,10930485,C20H20NP,305.4,CN(C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,300
291,896,10942763,C10H11P,162.17,C1C=CCP1C2=CC=CC=C2,137
292,897,10947629,C23H27P,334.4,CC1=C(C(=C(C1CCP(C2=CC=CC=C2)C3=CC=CC=C3)C)C)C,444
293,899,10954387,C12H17P,192.24,CC1CCC(P1C2=CC=CC=C2)C,151
294,904,10979688,C19H19N2P,306.3,CN(C)C1=CC(=NC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,303
295,905,11009555,C14H23P,222.31,CC(C)CP(CC(C)C)C1=CC=CC=C1,147
296,906,11022600,C19H15OP,290.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)C=O,292
297,907,11023108,C20H17OP,304.3,CC(=O)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,337
298,908,11061024,C15H17OP,244.27,COCCP(C1=CC=CC=C1)C2=CC=CC=C2,177
299,910,11108318,C12H12BrP,267.1,CC1=CP(C(=C1C)Br)C2=CC=CC=C2,189
300,912,11162984,C20H17O2P,320.3,COC(=O)C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,346
301,913,11166387,C18H22NP,283.3,C1CCC(C(C1)N)P(C2=CC=CC=C2)C3=CC=CC=C3,263
302,914,11170394,C15H25P,236.33,CC(C)(C)P(CC1=CC=CC=C1)C(C)(C)C,187
303,915,11170883,C27H30NP,399.5,CC1(C2CCC1(C(C2P(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=N5)C)C,543
304,916,11198787,C22H19O2P,346.4,C=CCOC(=O)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,406
305,919,11230015,C13H13PS,232.28,C1=CC=C(C=C1)P(CS)C2=CC=CC=C2,153
306,920,11233124,C18H14BrP,341.2,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC(=CC=C3)Br,263
307,923,11251692,C21H22NP,319.4,CC(C)(C)C1=NC(=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,331
308,925,11255148,C20H17OP,304.3,CC(=O)C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,329
309,926,11256561,C24H29P,348.5,CC(C)(C)P(C1=CC=CC=C1C2=CC=CC3=CC=CC=C32)C(C)(C)C,412
310,927,11266196,C15H15OPS,274.3,CC(=O)SCP(C1=CC=CC=C1)C2=CC=CC=C2,239
311,928,11277648,C19H14NP,287.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)C#N,333
312,929,11281356,C21H15O6P,394.3,C1=CC(=CC(=C1)P(C2=CC=CC(=C2)C(=O)O)C3=CC=CC(=C3)C(=O)O)C(=O)O,513
313,932,11347260,C21H21P,304.4,CC1=CC(=C(C(=C1)C)P(C2=CC=CC=C2)C3=CC=CC=C3)C,297
314,933,11348396,C23H33P,340.5,CC(C)C1=CC=CC=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C,370
315,935,11357708,C16H19N2P,270.31,C1CCC(CC1)P(C2=CC=CC=N2)C3=CC=CC=N3,248
316,939,11439040,C21H19O2P,334.3,CCOC(=O)C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,359
317,940,11445919,C22H18NP,327.4,CC1=NC2=C(C=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)C=C1,367
318,941,11482564,C16H13PS,268.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CS3,226
319,944,11530694,C22H28N3P,365.5,CC(C)(C)P(C1=C(N(N=N1)C2=CC=CC=C2)C3=CC=CC=C3)C(C)(C)C,427
320,946,11658845,C14H17PS,248.33,CC1CCC(P1C2=CSC3=CC=CC=C32)C,245
321,947,11804814,C8H9P,136.13,C1CP1C2=CC=CC=C2,90
322,948,11818525,C19H14NP,287.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC(=C3)C#N,341
323,951,11984351,C21H22NOP,335.4,CC(C)(C)OC1=NC(=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,351
324,956,12059788,C16H29N2P,280.39,CCN(CC)CP(CN(CC)CC)C1=CC=CC=C1,195
325,957,12077669,C16H21PSi,272.4,C[Si](C)(C)CP(C1=CC=CC=C1)C2=CC=CC=C2,216
326,961,12126016,C20H19P,290.3,C1=CC=C(C=C1)CCP(C2=CC=CC=C2)C3=CC=CC=C3,252
327,962,12126363,C10H15P,166.2,CCCP(C)C1=CC=CC=C1,95
328,963,12144885,C18H16NP,277.3,C1=CC=C(C=C1)P(CC2=CC=CC=N2)C3=CC=CC=C3,251
329,965,12168336,C19H27OP,302.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C=O,300
330,968,12449296,C17H14NP,263.27,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=NC=C3,232
331,970,12489533,C10H15O2P,198.2,CC(O)P(C1=CC=CC=C1)C(C)O,138
332,971,12490055,C14H15P,214.24,CP(CC1=CC=CC=C1)C2=CC=CC=C2,166
333,972,12502741,C7H13O4P,192.15,CC(=O)OCP(C)COC(=O)C,151
334,973,12520755,C20H19O2P,322.3,C1=CC=C(C=C1)C(O)P(C2=CC=CC=C2)C(C3=CC=CC=C3)O,307
335,974,12523345,C6H9O6P,208.11,C(C(=O)O)P(CC(=O)O)CC(=O)O,187
336,975,12534228,C17H19P,254.31,C=CCCCP(C1=CC=CC=C1)C2=CC=CC=C2,206
337,978,12557524,C12H17Cl2P,263.14,C1=CC=C(C=C1)P(CCCCl)CCCCl,139
338,979,12567558,C14H13P,212.23,C1C2=CC=CC=C2CP1C3=CC=CC=C3,193
339,980,12575260,C19H15P,274.3,C1=CC=C(C=C1)CP2C3=CC=CC=C3C4=CC=CC=C42,298
340,981,12591420,C18H17N2P,292.3,C1=CC=C(C=C1)P(C2=CC=CC(=C2)N)C3=CC=CC(=C3)N,294
341,982,12591421,C18H18N3P,307.3,C1=CC(=CC(=C1)P(C2=CC=CC(=C2)N)C3=CC=CC(=C3)N)N,299
342,983,12603439,C10H23P,174.26,CCP(C(C)(C)C)C(C)(C)C,99
343,984,12643179,C16H19OP,258.29,C1=CC=C(C=C1)P(CCCCO)C2=CC=CC=C2,189
344,985,12704068,C8H11OP,154.15,CP(CO)C1=CC=CC=C1,89
345,986,12706087,C7H13P,128.15,CC1=C(CP(C1)C)C,110
346,987,12716772,C9H15P,154.19,C1CC1P(C2CC2)C3CC3,114
347,988,12758688,C11H11P,174.18,CC1=CP(C=C1)C2=CC=CC=C2,138
348,989,12793992,C15H29P,240.36,CCCP(C1CCCCC1)C2CCCCC2,160
349,990,12829635,C14H11P,210.21,C1=CC=C(C=C1)P2C=CC3=CC=CC=C32,207
350,993,12904071,C3H7Cl2P,144.96,CP(CCl)CCl,28
351,995,12914046,C23H21OP,344.4,C1C(P(C(CC1=O)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,399
352,996,12934588,C20H17N2P,316.3,CN1C2=CC=CC=C2N=C1P(C3=CC=CC=C3)C4=CC=CC=C4,358
353,998,12977240,C20H19O2P,322.3,COC1=C(C(=CC=C1)OC)P(C2=CC=CC=C2)C3=CC=CC=C3,307
354,999,12983241,C14H11O2P,242.21,C1=CC=C(C=C1)P(C2=CC=CO2)C3=CC=CO3,224
355,1000,13015643,C3H8ClP,110.52,CP(C)CCl,20
356,1001,13087553,C11H17P,180.23,CCP(CC)C1=CC=C(C=C1)C,110
357,1002,13087570,C20H19OP,306.3,CCOC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,289
358,1003,13087614,C22H23O4P,382.4,COC1=C(C(=CC=C1)OC)P(C2=CC=CC=C2)C3=C(C=CC=C3OC)OC,375
359,1004,13126496,C5H7P,98.08,CP1C=CC=C1,37
360,1005,13126497,C6H9P,112.11,CC1=CP(C=C1)C,61
361,1006,13128713,C9H15P,154.19,C1C2CC3CC1CP(C2)C3,114
362,1007,13153790,C20H15P,286.3,C1=CC=C(C=C1)C2=CC3=CC=CC=C3P2C4=CC=CC=C4,327
363,1009,13530500,C22H31P,326.5,CC(C)C1=CC(=C(C(=C1)C(C)C)P(C)C2=CC=CC=C2)C(C)C,322
364,1011,13661226,C21H31O3PSi,390.5,CCO[Si](CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(OCC)OCC,322
365,1013,13741333,C20H17O2P,320.3,COC(=O)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,354
366,1014,13836128,C5H13P,104.13,CCP(C)CC,23
367,1015,13981481,C15H17P,228.27,CP(CC1=CC=CC=C1)CC2=CC=CC=C2,158
368,1016,14026308,C14H17P,216.26,CC1=C(P(C(=C1C)C)C2=CC=CC=C2)C,193
369,1017,14111289,C13H19P,206.26,CP(C1CCCCC1)C2=CC=CC=C2,155
370,1018,14178408,C12H27P,202.32,CCC(C)P(C(C)CC)C(C)CC,98
371,1019,14178411,C5H11P,102.11,CP1CCCC1,37
372,1022,14902743,C15H15O2P,258.25,CC(C(=O)O)P(C1=CC=CC=C1)C2=CC=CC=C2,250
373,1023,14919642,C14H14NP,227.24,CN1C2=CC=CC=C2P(C3=CC=CC=C31)C,231
374,1024,14940223,C21H15P,298.3,CP1C2=C(C3=CC=CC=C3C=C2)C4=C1C=CC5=CC=CC=C54,380
375,1027,14967038,C11H11P,174.18,C1=CC=C(C=C1)CP2C=CC=C2,121
376,1028,15265270,C20H19OP,306.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3CCO,289
377,1029,15265671,C10H14BrP,245.1,CCP(CC)C1=CC=CC=C1Br,123
378,1030,15300448,C26H31OP,390.5,CC(C)(C)C1=CC(=C(C(=C1)P(C2=CC=CC=C2)C3=CC=CC=C3)O)C(C)(C)C,458
